iso639-3,url,iso639-2/iso639-5,iso639-2,iso639-5,iso639-1,name,type,status,member of macro language,member of MARC collective code,iso639-3
aga,https://iso639-3.sil.org/code/aga,,,,,Aguano,Individual,Extinct,,sai,aga
agb,https://iso639-3.sil.org/code/agb,,,,,Legbo,Individual,Living,,nic,agb
agc,https://iso639-3.sil.org/code/agc,,,,,Agatu,Individual,Living,,nic,agc
agd,https://iso639-3.sil.org/code/agd,,,,,Agarabi,Individual,Living,,paa,agd
age,https://iso639-3.sil.org/code/age,,,,,Angal,Individual,Living,,paa,age
agf,https://iso639-3.sil.org/code/agf,,,,,Arguni,Individual,Living,,map,agf
agg,https://iso639-3.sil.org/code/agg,,,,,Angor,Individual,Living,,paa,agg
agh,https://iso639-3.sil.org/code/agh,,,,,Ngelima,Individual,Living,,bnt,agh
agi,https://iso639-3.sil.org/code/agi,,,,,Agariya,Individual,Living,,und,agi
agj,https://iso639-3.sil.org/code/agj,,,,,Argobba,Individual,Living,,afa,agj
agk,https://iso639-3.sil.org/code/agk,,,,,Isarog Agta,Individual,Living,,phi,agk
agl,https://iso639-3.sil.org/code/agl,,,,,Fembe,Individual,Living,,paa,agl
agm,https://iso639-3.sil.org/code/agm,,,,,Angaataha,Individual,Living,,paa,agm
agn,https://iso639-3.sil.org/code/agn,,,,,Agutaynen,Individual,Living,,phi,agn
ago,https://iso639-3.sil.org/code/ago,,,,,Tainae,Individual,Living,,paa,ago
agq,https://iso639-3.sil.org/code/agq,,,,,Aghem,Individual,Living,,nic,agq
agr,https://iso639-3.sil.org/code/agr,,,,,Aguaruna,Individual,Living,,sai,agr
ags,https://iso639-3.sil.org/code/ags,,,,,Esimbi,Individual,Living,,nic,ags
agt,https://iso639-3.sil.org/code/agt,,,,,Central Cagayan Agta,Individual,Living,,phi,agt
agu,https://iso639-3.sil.org/code/agu,,,,,Aguacateco,Individual,Living,,myn,agu
agv,https://iso639-3.sil.org/code/agv,,,,,Remontado Dumagat,Individual,Living,,phi,agv
agw,https://iso639-3.sil.org/code/agw,,,,,Kahua,Individual,Living,,map,agw
agx,https://iso639-3.sil.org/code/agx,,,,,Aghul,Individual,Living,,cau,agx
agy,https://iso639-3.sil.org/code/agy,,,,,Southern Alta,Individual,Living,,phi,agy
agz,https://iso639-3.sil.org/code/agz,,,,,Mt. Iriga Agta,Individual,Living,,phi,agz
aha,https://iso639-3.sil.org/code/aha,,,,,Ahanta,Individual,Living,,nic,aha
ahb,https://iso639-3.sil.org/code/ahb,,,,,Axamb,Individual,Living,,map,ahb
ahg,https://iso639-3.sil.org/code/ahg,,,,,Qimant,Individual,Living,,cus,ahg
ahh,https://iso639-3.sil.org/code/ahh,,,,,Aghu,Individual,Living,,paa,ahh
ahi,https://iso639-3.sil.org/code/ahi,,,,,Tiagbamrin Aizi,Individual,Living,,kro,ahi
ahk,https://iso639-3.sil.org/code/ahk,,,,,Akha,Individual,Living,,sit,ahk
ahl,https://iso639-3.sil.org/code/ahl,,,,,Igo,Individual,Living,,nic,ahl
ahm,https://iso639-3.sil.org/code/ahm,,,,,Mobumrin Aizi,Individual,Living,,kro,ahm
ahn,https://iso639-3.sil.org/code/ahn,,,,,?hÖn,Individual,Living,,nic,ahn
aho,https://iso639-3.sil.org/code/aho,,,,,Ahom,Individual,Extinct,,tai,aho
ahp,https://iso639-3.sil.org/code/ahp,,,,,Aproumu Aizi,Individual,Living,,nic,ahp
ahr,https://iso639-3.sil.org/code/ahr,,,,,Ahirani,Individual,Living,,inc,ahr
ahs,https://iso639-3.sil.org/code/ahs,,,,,Ashe,Individual,Living,,nic,ahs
aht,https://iso639-3.sil.org/code/aht,,,,,Ahtena,Individual,Living,,ath,aht
aia,https://iso639-3.sil.org/code/aia,,,,,Arosi,Individual,Living,,map,aia
aib,https://iso639-3.sil.org/code/aib,,,,,Ainu (China),Individual,Living,,tut,aib
aic,https://iso639-3.sil.org/code/aic,,,,,Ainbai,Individual,Living,,pap,aic
aid,https://iso639-3.sil.org/code/aid,,,,,Alngith,Individual,Extinct,,aus,aid
